,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
53,google,"Sunnyvale, CA",Current Employee - Senior Program Manager,5.0,4.0,5.0,5.0,3.0,4.0,0,2018.0
54,google,"Mountain View, CA",Current Employee - Product Marketing Manager,3.0,1.0,3.0,5.0,5.0,3.0,1,2018.0
55,google,"Sunnyvale, CA",Current Employee - Electrical Engineer,1.0,1.0,1.0,1.0,1.0,1.0,12,2018.0
56,google,"New York, NY",Current Employee - Tax Director,4.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
57,google,"Mountain View, CA",Current Employee - Designer,5.0,4.0,5.0,5.0,5.0,4.0,4,2018.0
58,google,"Mountain View, CA",Current Employee - Product Manager,4.0,3.0,4.0,5.0,5.0,4.0,0,2018.0
59,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
60,google,"Mountain View, CA",Current Employee - Data Analyst,3.0,5.0,3.0,3.0,3.0,2.0,0,2018.0
61,google,"Mountain View, CA",Former Employee - Senior Recruiter,5.0,4.0,5.0,5.0,5.0,4.0,1,2018.0
62,google,"Mountain View, CA",Current Employee - Hardware Engineer,1.0,2.0,1.0,2.0,3.0,1.0,5,2018.0
63,google,"Mountain View, CA",Former Employee - Account Strategist,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
64,google,"Mountain View, CA",Former Employee - Associate Compensation Analyst,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
65,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
66,google,"Houston, TX",Former Employee - Account Manager,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
67,google,"Denver, CO",Former Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
68,google,"Egypt, AR",Former Employee - Accountant,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
69,google,"Mountain View, CA",Former Employee - Video Producer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
70,google,"Mountain View, CA",Former Employee - Strategy and Programs Manager,4.0,5.0,4.0,3.0,4.0,4.0,0,2018.0
71,google,"San Francisco, CA",Current Employee - Software Engineer,4.0,3.0,4.0,3.0,4.0,3.0,0,2018.0
72,google,"Los Angeles, CA",Former Employee - Software Developer,4.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
73,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
74,google,"Los Angeles, CA",Former Employee - Assistant,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
75,google,"San Bernardino, CA",Former Employee - International Product Manager,4.0,4.0,4.0,5.0,4.0,4.0,0,2018.0
76,google,"Sunnyvale, CA",Current Employee - BSA Analyst,4.0,3.0,4.0,3.0,5.0,3.0,0,2018.0
77,google,"New York, NY",Current Employee - Part Time Cashier,5.0,5.0,5.0,5.0,3.0,5.0,0,2018.0
