,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
28838,apple,"Phoenix, AZ",Current Employee - Mac Specialist (Apple Store),5.0,5.0,4.1,3.5,4.0,5.0,0,2010.0
28839,apple,"Edison, NJ",Former Employee - Genius,4.0,2.0,4.1,4.0,3.0,3.0,0,2010.0
28840,apple,"Chicago, IL",Current Employee - Specialist,5.0,4.5,4.1,3.0,5.0,5.0,1,2010.0
28841,apple,"Cupertino, CA",Former Employee - Digital Asset Manager,4.0,3.0,4.1,2.0,4.5,2.0,0,2010.0
28842,apple,"Elk Grove, CA",Former Employee - Work From Home Advisor,4.0,4.5,4.1,1.0,4.5,4.0,7,2010.0
28843,apple,"Cupertino, CA",Current Employee - Software Engineer,2.0,2.0,4.1,3.0,3.5,2.5,3,2010.0
28844,apple,"Cupertino, CA",Former Employee - Intern,2.0,4.0,4.1,2.0,4.0,3.5,10,2010.0
28845,apple,"Cupertino, CA",Former Employee - Anonymous Employee,1.0,2.0,4.1,1.0,3.5,3.5,7,2010.0
28846,apple,"Cupertino, CA",Current Employee - Senior Hardware Engineer,4.0,4.0,4.1,4.0,4.5,5.0,3,2010.0
28847,apple,"New York, NY",Former Employee - Mac Genius,4.0,4.0,4.1,3.0,4.5,4.0,4,2010.0
28848,apple,"Huntsville, AL",Current Employee - Specialist,4.0,4.0,4.1,3.5,4.0,5.0,0,2010.0
28849,apple,"New York, NY",Current Employee - Specialist,4.0,3.5,4.1,3.5,4.0,3.5,1,2010.0
28850,apple,"Los Angeles, CA",Current Employee - Apple Solutions Consultant,3.0,2.5,4.1,3.0,4.0,2.0,19,2010.0
28851,apple,"Austin, TX",Current Employee - Advisor,1.0,2.5,4.1,1.0,4.5,3.0,6,2010.0
28852,apple,"Austin, TX",Current Employee - Senior Advisor,5.0,4.0,4.1,4.0,3.5,5.0,3,2010.0
28853,apple,"Cupertino, CA",Former Employee - Product Manager,4.0,4.0,4.1,3.5,4.0,5.0,5,2010.0
28854,apple,"Cupertino, CA",Former Employee - Marketing Intern,5.0,2.5,4.1,4.5,4.0,5.0,1,2010.0
28855,apple,"Palo Alto, CA",Former Employee - Mac Specialist (Apple Store),4.0,4.0,4.1,4.0,4.0,4.0,1,2010.0
28856,apple,"Cupertino, CA",Former Employee - Senior Financial Analyst,3.0,3.0,4.1,3.0,3.0,3.0,3,2010.0
28857,apple,"Cupertino, CA",Former Employee - Specialist,3.0,3.0,4.1,3.0,3.0,3.0,0,2010.0
28858,apple,"Cupertino, CA",Former Employee - Anonymous Employee,4.0,4.0,4.1,2.0,3.5,4.0,2,2010.0
28859,apple,"Austin, TX",Current Employee - Call Center Jockey,4.0,3.5,4.1,4.0,4.5,4.0,0,2010.0
28860,apple,"San Francisco, CA",Former Employee - Specialist,4.0,3.5,4.1,4.0,3.0,4.0,0,2010.0
28861,apple,"Cupertino, CA",Current Employee - Engineer,4.0,4.0,4.1,2.5,3.0,2.5,5,2010.0
28862,apple,"Elk Grove, CA",Former Employee - Telecom Engineer,4.0,3.0,4.1,2.0,4.0,3.5,1,2010.0
28863,apple,"Elk Grove, CA",Former Employee - Technical Support,3.0,3.5,4.1,2.5,2.5,2.0,0,2010.0
28864,apple,"Cupertino, CA",Former Employee - Intern,3.0,2.5,4.1,4.5,3.0,5.0,1,2010.0
28865,apple,"Cupertino, CA",Former Employee - Software Engineer,5.0,4.5,4.1,4.0,4.5,4.0,1,2010.0
28866,apple,"Las Vegas, NV",Former Employee - Sales,4.0,4.0,4.1,3.0,5.0,4.0,1,2010.0
28867,apple,"Salem, NH",Former Employee - Anonymous Employee,4.0,3.5,4.1,3.0,4.0,1.5,0,2010.0
28868,apple,"Cupertino, CA",Former Employee - Analyst,3.0,4.0,4.1,4.0,3.5,3.5,1,2010.0
28869,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,3.5,4.1,4.0,4.0,5.0,1,2010.0
28870,apple,"Cupertino, CA",Current Employee - Contract Employee,3.0,4.0,4.1,2.0,3.0,4.0,8,2009.0
28871,apple,"New York, NY",Current Employee - Anonymous Employee,3.0,2.5,4.1,2.5,5.0,2.5,0,2010.0
28872,apple,"Washington, DC",Former Employee - Family Room Specialist,4.0,4.0,4.1,4.0,2.0,4.0,2,2009.0
28873,apple,"Cupertino, CA",Former Employee - Anonymous Employee,5.0,4.5,4.1,3.5,4.5,4.0,0,2009.0
28874,apple,"Scottsdale, AZ",Current Employee - Apple Retail,5.0,2.5,4.1,4.0,4.5,5.0,0,2009.0
28875,apple,"Cupertino, CA",Former Employee - Anonymous Employee,3.0,1.5,4.1,3.5,4.0,4.5,21,2009.0
28876,apple,"Austin, TX",Current Employee - Apple Advisor HBA,4.0,5.0,4.1,3.0,4.0,3.0,0,2009.0
28877,apple,"Providence, RI",Current Employee - Apple Specialist,5.0,4.0,4.1,2.0,4.0,5.0,1,2009.0
28878,apple,"Cupertino, CA","Current Employee - Sales Compensation &amp, Program Coordinator",3.0,3.0,4.1,3.0,3.0,3.0,3,2009.0
28879,apple,"Cupertino, CA",Former Employee - Software Engineer,1.0,1.0,4.1,1.0,2.5,1.5,11,2009.0
28880,apple,"Mountain View, CA",Current Employee - Anonymous Employee,3.0,3.0,4.1,3.0,3.0,3.0,0,2009.0
28881,apple,"Cupertino, CA",Former Employee - IPhone Product Design Intern,2.0,1.5,4.1,1.0,3.5,2.5,4,2009.0
28882,apple,"Oak Brook, IL",Current Employee - Concierge,5.0,4.0,4.1,2.5,4.5,4.0,4,2009.0
28883,apple,"Orland Park, IL",Current Employee - Specialist,4.0,3.5,4.1,3.0,3.5,4.0,2,2009.0
28884,apple,"New Orleans, LA",Former Employee - Technician,3.0,3.5,4.1,1.0,4.0,1.0,0,2009.0
28885,apple,"Cupertino, CA",Current Employee - Anonymous Employee,2.0,2.0,4.1,2.5,3.5,4.0,1,2009.0
28886,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,4.0,4.1,2.0,3.0,4.0,0,2009.0
28887,apple,"Cupertino, CA",Current Employee - Hardware Engineer,5.0,4.0,4.1,4.0,4.0,5.0,0,2009.0
28888,apple,"Dallas, TX",Former Employee - Specialist,5.0,5.0,4.1,5.0,5.0,5.0,0,2009.0
28889,apple,"Paramus, NJ",Current Employee - Anonymous Employee,3.0,4.0,4.1,4.0,4.5,4.5,0,2009.0
28890,apple,"Chicago, IL",Current Employee - Specialist,5.0,5.0,4.1,5.0,5.0,5.0,1,2009.0
28891,apple,"Cupertino, CA",Former Employee - Engineering Project Manager Intern,4.0,4.5,4.1,1.0,3.0,4.5,6,2009.0
28892,apple,"Cupertino, CA",Current Employee - Director,4.0,3.5,4.1,2.5,3.0,3.0,3,2009.0
28893,apple,"Norfolk, VA",Current Employee - Mac Specialist (Apple Store),5.0,5.0,4.1,5.0,5.0,5.0,0,2009.0
