,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,Company_code,Job_code,Locations_code
56,1.0,1.0,1.0,0.75,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.011380504700643248,0.8717948717948718
57,1.0,0.75,1.0,1.0,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.02028698664027709,0.41025641025641024
58,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
59,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.7456704601682336,0.41025641025641024
60,1.0,1.0,0.75,0.5,1.0,1.0,0.0,0.6000000000000001,0.5888174171202376,0.517948717948718
61,1.0,0.75,0.75,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.9980207817911926,0.41025641025641024
62,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.4893617021276596,0.7333333333333333
63,0.5,0.75,0.75,1.0,0.5,0.75,0.0,0.6000000000000001,0.21969322117763485,0.7487179487179487
64,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.7130133597229095,0.517948717948718
65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
66,1.0,0.25,0.75,0.75,1.0,0.25,0.0,0.6000000000000001,0.8555170707570511,0.517948717948718
67,0.5,0.25,0.5,0.25,1.0,0.5,0.0009551098376313276,0.6000000000000001,0.5888174171202376,0.517948717948718
68,0.5,0.75,0.75,1.0,0.75,0.75,0.0,0.6000000000000001,0.02028698664027709,0.3435897435897436
69,0.75,1.0,0.75,0.5,1.0,0.75,0.0,0.6000000000000001,0.5131123206333499,0.517948717948718
70,0.75,0.75,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.47847600197921825,0.7487179487179487
71,0.75,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0004775549188156638,0.6000000000000001,0.7456704601682336,0.517948717948718
72,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,0.0033428844317096463,0.6000000000000001,0.02028698664027709,0.517948717948718
73,1.0,1.0,0.5,0.0,1.0,0.5,0.0,0.6000000000000001,0.47847600197921825,0.41025641025641024
74,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
75,0.75,0.75,1.0,0.75,0.75,1.0,0.0,0.6000000000000001,0.8535378525482435,0.517948717948718
76,0.75,0.75,1.0,0.5,1.0,1.0,0.0028653295128939827,0.6000000000000001,0.6679861454725384,0.517948717948718
77,0.75,0.75,1.0,1.0,1.0,1.0,0.0019102196752626551,0.6000000000000001,0.02028698664027709,0.7487179487179487
78,0.5,0.5,0.75,0.5,0.25,0.5,0.0009551098376313276,0.6000000000000001,0.18159327065809008,0.517948717948718
79,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0004775549188156638,0.6000000000000001,0.02028698664027709,0.517948717948718
81,0.75,0.5,1.0,0.75,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.6303809995051955,0.517948717948718
82,1.0,0.25,1.0,1.0,0.75,1.0,0.0004775549188156638,0.6000000000000001,0.6046511627906977,0.517948717948718
83,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5319148936170214,0.7435897435897436
84,0.0,0.5,0.5,0.0,1.0,0.0,0.0038204393505253103,0.6000000000000001,0.32855022266204853,0.517948717948718
85,0.5,0.5,1.0,0.75,0.0,0.5,0.0033428844317096463,0.6000000000000001,0.49975259772389913,0.517948717948718
86,0.75,0.5,0.75,1.0,0.75,0.5,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
87,1.0,1.0,1.0,1.0,1.0,1.0,0.0009551098376313276,0.6000000000000001,0.4438396833250866,0.517948717948718
88,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.3369619000494805,0.517948717948718
89,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5888174171202376,0.517948717948718
90,0.5,1.0,0.5,0.0,1.0,0.5,0.0004775549188156638,0.6000000000000001,0.7456704601682336,0.7589743589743589
91,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9485403265710045,0.41025641025641024
92,1.0,1.0,1.0,0.75,1.0,0.5,0.0,0.6000000000000001,0.48886689757545776,0.517948717948718
93,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9396338446313707,0.7589743589743589
94,0.75,0.5,0.5,0.75,0.75,0.75,0.0009551098376313276,0.6000000000000001,0.02028698664027709,0.8717948717948718
95,1.0,1.0,1.0,1.0,0.75,0.5,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
96,0.5,0.25,0.25,0.75,0.75,0.5,0.0,0.6000000000000001,0.02028698664027709,0.517948717948718
97,1.0,0.75,0.75,1.0,1.0,0.75,0.0,0.6000000000000001,0.33250865907966354,0.517948717948718
98,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.6000000000000001,0.3973280554181099,0.517948717948718
99,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
100,1.0,1.0,1.0,0.75,0.75,1.0,0.0004775549188156638,0.6000000000000001,0.3369619000494805,0.517948717948718
101,0.25,0.75,0.0,0.5,1.0,0.0,0.0004775549188156638,0.6000000000000001,0.6323602177140031,0.7487179487179487
102,0.75,0.5,0.75,0.75,1.0,0.25,0.0,0.6000000000000001,0.2939139040079169,0.517948717948718
103,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.6000000000000001,0.942602671944582,0.517948717948718
104,0.75,1.0,1.0,1.0,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.052944087085601194,0.517948717948718
105,1.0,0.75,1.0,1.0,0.5,1.0,0.0,0.6000000000000001,0.5888174171202376,0.517948717948718
106,0.5,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
107,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.32855022266204853,0.41025641025641024
108,1.0,0.5,0.75,1.0,1.0,0.75,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
109,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.12271152894606632,0.517948717948718
110,1.0,0.75,1.0,0.75,0.5,0.75,0.0004775549188156638,0.6000000000000001,0.43196437407224153,0.7487179487179487
111,1.0,0.75,0.75,1.0,1.0,0.75,0.0014326647564469914,0.6000000000000001,0.47847600197921825,0.517948717948718
112,1.0,0.75,1.0,0.75,0.75,0.75,0.0,0.6000000000000001,0.19990103908955964,0.7487179487179487
113,1.0,0.75,1.0,0.5,1.0,0.5,0.0,0.6000000000000001,0.8837209302325583,0.517948717948718
114,0.75,1.0,0.75,0.5,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.1583374567046017,0.41025641025641024
115,0.75,0.75,0.75,0.75,1.0,0.5,0.0009551098376313276,0.6000000000000001,0.02028698664027709,0.517948717948718
116,0.75,0.75,0.75,0.5,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.28797624938149435,0.517948717948718
117,0.75,0.75,0.5,0.75,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.9950519544779813,0.41025641025641024
118,1.0,0.75,0.75,0.75,1.0,0.75,0.0,0.6000000000000001,0.5061850569025236,0.517948717948718
119,0.5,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0009551098376313276,0.6000000000000001,0.9633844631370609,0.517948717948718
120,1.0,1.0,1.0,1.0,1.0,1.0,0.0009551098376313276,0.6000000000000001,0.47847600197921825,0.8717948717948718
121,1.0,1.0,1.0,1.0,0.75,0.75,0.0,0.6000000000000001,0.9876298861949531,0.517948717948718
122,0.75,0.25,0.75,1.0,1.0,0.5,0.0004775549188156638,0.6000000000000001,0.47847600197921825,0.41025641025641024
123,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.8975754576942109,0.7487179487179487
124,0.25,0.5,0.25,0.25,0.75,0.25,0.0009551098376313276,0.6000000000000001,0.02028698664027709,0.517948717948718
125,0.75,0.5,0.75,0.5,1.0,0.75,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
126,0.75,0.75,0.75,0.75,0.75,0.5,0.0004775549188156638,0.6000000000000001,0.9223156853043049,0.517948717948718
127,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0014326647564469914,0.6000000000000001,0.02028698664027709,0.517948717948718
128,0.5,0.25,0.5,0.5,1.0,0.75,0.0019102196752626551,0.6000000000000001,0.3369619000494805,0.517948717948718
129,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5591291439881247,0.7487179487179487
130,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.16872835230084118,0.7487179487179487
131,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.6803562592775855,0.6
132,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
133,0.75,0.75,1.0,0.75,1.0,0.25,0.0,0.6000000000000001,0.5888174171202376,0.517948717948718
134,0.75,0.5,0.5,0.75,0.75,0.5,0.0004775549188156638,0.6000000000000001,0.32855022266204853,0.517948717948718
135,0.5,1.0,0.0,0.0,0.25,0.0,0.006685768863419293,0.6000000000000001,0.9223156853043049,0.517948717948718
136,1.0,1.0,1.0,1.0,1.0,1.0,0.0009551098376313276,0.6000000000000001,0.47847600197921825,0.517948717948718
137,0.75,0.75,0.75,0.75,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.9861454725383475,0.517948717948718
138,0.5,1.0,0.0,0.75,0.75,0.0,0.0019102196752626551,0.6000000000000001,0.5888174171202376,0.517948717948718
139,1.0,0.75,0.75,0.5,1.0,0.5,0.0004775549188156638,0.6000000000000001,0.02028698664027709,0.517948717948718
140,1.0,0.75,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.02028698664027709,0.517948717948718
141,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.5888174171202376,0.517948717948718
142,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.6000000000000001,0.7130133597229095,0.517948717948718
143,0.25,0.0,0.75,0.75,0.0,0.0,0.0028653295128939827,0.6000000000000001,0.8421573478476003,0.517948717948718
144,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.524987629886195,0.7487179487179487
145,0.0,0.0,0.0,0.0,0.5,0.0,0.0038204393505253103,0.6000000000000001,0.02028698664027709,0.517948717948718
146,1.0,0.75,1.0,1.0,0.75,1.0,0.0014326647564469914,0.6000000000000001,0.4497773379515092,0.517948717948718
147,0.25,0.0,0.0,0.0,0.0,0.0,0.0014326647564469914,0.6000000000000001,0.5794161306284018,0.517948717948718
148,0.5,0.25,0.5,0.25,0.75,0.5,0.0,0.6000000000000001,0.3369619000494805,0.7487179487179487
149,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.6000000000000001,0.4245423057892133,0.517948717948718
150,0.5,0.75,0.25,0.25,1.0,0.5,0.0019102196752626551,0.6000000000000001,0.47847600197921825,0.517948717948718
151,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5888174171202376,0.7487179487179487
152,0.5,0.75,1.0,0.0,0.5,0.5,0.0014326647564469914,0.6000000000000001,0.34042553191489366,0.517948717948718
153,1.0,0.75,0.75,0.5,1.0,0.75,0.0014326647564469914,0.6000000000000001,0.26818406729341915,0.7333333333333333
154,1.0,1.0,0.5,0.5,0.5,0.5,0.0009551098376313276,0.6000000000000001,0.6590796635329046,0.517948717948718
155,1.0,1.0,1.0,0.75,0.75,0.75,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
156,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.6000000000000001,0.41118258287976256,0.2205128205128205
157,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.49134092033646715,0.517948717948718
158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.1964374072241465,0.8717948717948718
159,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.47847600197921825,0.517948717948718
160,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.6798614547253835,0.41025641025641024
161,1.0,0.75,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.02028698664027709,0.8717948717948718
162,0.0,0.0,0.0,0.5,0.5,0.0,0.0038204393505253103,0.6000000000000001,0.34141514101929743,0.7589743589743589
163,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.46561108362196935,0.517948717948718
164,1.0,0.75,1.0,1.0,0.75,1.0,0.0,0.6000000000000001,0.6551212271152895,0.7487179487179487
165,0.75,0.5,0.75,1.0,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.6808510638297873,0.517948717948718
166,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.24987629886194956,0.8717948717948718
167,0.75,1.0,0.25,1.0,1.0,0.25,0.0,0.6000000000000001,0.12716476991588324,0.7487179487179487
168,0.0,0.25,0.0,0.25,0.5,0.25,0.0014326647564469914,0.6000000000000001,0.3438891637803068,0.517948717948718
169,0.25,0.25,0.25,0.25,1.0,0.5,0.0019102196752626551,0.6000000000000001,0.8302820385947551,0.7487179487179487
170,0.75,1.0,0.75,0.25,1.0,0.75,0.0,0.6000000000000001,0.02028698664027709,0.517948717948718
171,0.75,0.75,0.75,0.5,1.0,0.75,0.0,0.6000000000000001,0.5888174171202376,0.7487179487179487
172,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.5462642256308758,0.517948717948718
173,0.0,0.0,0.0,0.0,1.0,0.0,0.006685768863419293,0.6000000000000001,0.893122216724394,0.8717948717948718
174,0.75,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.9025235032162297,0.41025641025641024
175,1.0,0.0,1.0,0.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.40524492825333996,0.517948717948718
176,1.0,0.5,1.0,1.0,1.0,1.0,0.0009551098376313276,0.6000000000000001,0.3369619000494805,0.517948717948718
177,0.75,0.5,0.75,1.0,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.9223156853043049,0.517948717948718
178,0.5,0.75,0.75,0.75,0.75,0.75,0.0,0.6000000000000001,0.47847600197921825,0.7487179487179487
179,1.0,0.75,1.0,0.75,1.0,1.0,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
180,1.0,1.0,1.0,1.0,1.0,1.0,0.0009551098376313276,0.6000000000000001,0.5531914893617021,0.8717948717948718
181,1.0,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0,0.6000000000000001,0.4438396833250866,0.8717948717948718
182,0.75,1.0,0.75,0.5,1.0,0.25,0.0,0.6000000000000001,0.8030677882236518,0.7487179487179487
183,0.75,0.5,0.75,0.75,0.75,0.5,0.0,0.6000000000000001,0.3369619000494805,0.8717948717948718
184,1.0,1.0,1.0,0.75,1.0,0.725,0.0009551098376313276,0.6000000000000001,0.02028698664027709,0.517948717948718
185,1.0,1.0,1.0,1.0,1.0,1.0,0.0014326647564469914,0.6000000000000001,0.47847600197921825,0.517948717948718
186,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.006432459178624444,0.41025641025641024
187,0.0,0.0,0.0,0.0,0.0,0.0,0.004775549188156638,0.6000000000000001,0.47847600197921825,0.517948717948718
188,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.8005937654626424,0.8717948717948718
189,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.34141514101929743,0.517948717948718
190,0.25,0.0,0.5,0.25,0.75,1.0,0.006685768863419293,0.6000000000000001,0.6625432953983177,0.517948717948718
191,0.5,0.5,0.25,0.5,1.0,0.25,0.002387774594078319,0.6000000000000001,0.8421573478476003,0.8717948717948718
192,1.0,1.0,1.0,0.5,1.0,0.75,0.0019102196752626551,0.6000000000000001,0.2572983671449778,0.517948717948718
193,0.5,0.25,0.5,0.5,0.75,0.5,0.0009551098376313276,0.6000000000000001,0.7718951014349332,0.7487179487179487
194,0.5,0.25,0.75,0.25,1.0,0.0,0.002387774594078319,0.6000000000000001,0.6175160811479466,0.7487179487179487
195,0.75,0.75,1.0,0.5,0.75,0.5,0.0,0.6000000000000001,0.02028698664027709,0.517948717948718
196,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.6000000000000001,0.8975754576942109,0.7487179487179487
197,0.75,0.5,0.75,0.75,0.75,0.5,0.0,0.6000000000000001,0.8050470064324593,0.517948717948718
198,0.75,0.75,0.8500000000000001,0.75,0.8500000000000001,0.725,0.0009551098376313276,0.6000000000000001,0.47847600197921825,0.517948717948718
199,0.75,0.75,1.0,0.5,0.75,0.75,0.0009551098376313276,0.6000000000000001,0.3829787234042554,0.7487179487179487
200,0.75,0.75,0.75,0.75,1.0,0.5,0.0,0.6000000000000001,0.9579416130628403,0.517948717948718
201,1.0,1.0,0.75,0.75,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.38099950519544784,0.7589743589743589
202,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.02028698664027709,0.8
203,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.7456704601682336,0.6102564102564103
204,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
205,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9529935675408214,0.7487179487179487
206,0.75,0.75,0.75,0.75,1.0,0.25,0.0004775549188156638,0.6000000000000001,0.9223156853043049,0.517948717948718
207,0.5,1.0,1.0,0.5,0.5,0.5,0.0014326647564469914,0.6000000000000001,0.02028698664027709,0.517948717948718
208,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.30529440870856017,0.7487179487179487
209,0.75,0.5,0.5,0.75,1.0,0.5,0.0,0.6000000000000001,0.6803562592775855,0.7589743589743589
210,1.0,1.0,1.0,0.5,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.5888174171202376,0.517948717948718
211,0.75,1.0,0.5,0.75,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.8955962394854033,0.7487179487179487
212,0.0,0.0,0.0,0.0,0.5,0.0,0.0038204393505253103,0.6000000000000001,0.07174666006927265,0.7487179487179487
213,0.75,0.5,0.5,1.0,0.75,0.5,0.0,0.6000000000000001,0.9223156853043049,0.41025641025641024
214,0.75,1.0,0.25,0.0,0.25,0.25,0.0014326647564469914,0.6000000000000001,0.3562592775853538,0.517948717948718
215,1.0,0.5,1.0,1.0,0.5,0.25,0.0,0.6000000000000001,0.12172191984166256,0.517948717948718
216,0.75,0.5,0.25,0.25,1.0,0.25,0.0014326647564469914,0.6000000000000001,0.8916378030677883,0.517948717948718
217,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.47847600197921825,0.517948717948718
218,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.4438396833250866,0.517948717948718
219,0.5,0.25,0.25,0.25,1.0,0.5,0.009073543457497613,0.6000000000000001,0.8782780801583375,0.517948717948718
220,1.0,1.0,1.0,1.0,1.0,1.0,0.0019102196752626551,0.6000000000000001,0.47847600197921825,0.517948717948718
221,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.9223156853043049,0.517948717948718
222,1.0,0.75,0.75,1.0,1.0,1.0,0.0014326647564469914,0.6000000000000001,0.8248391885205345,0.517948717948718
223,0.75,1.0,0.75,0.25,0.75,0.5,0.0004775549188156638,0.6000000000000001,0.3369619000494805,0.517948717948718
224,0.75,0.5,0.5,0.75,0.5,0.5,0.0,0.6000000000000001,0.18406729341909947,0.41025641025641024
225,1.0,1.0,0.75,0.75,1.0,0.5,0.0009551098376313276,0.6000000000000001,0.5185551707075705,0.517948717948718
226,0.75,0.0,0.5,0.75,0.5,0.5,0.0019102196752626551,0.6000000000000001,0.2612568035625928,0.517948717948718
227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.8248391885205345,0.7487179487179487
228,0.75,0.5,1.0,0.75,1.0,0.75,0.0028653295128939827,0.6000000000000001,0.47847600197921825,0.517948717948718
229,0.75,1.0,0.5,0.75,1.0,0.25,0.0,0.6000000000000001,0.8975754576942109,0.517948717948718
