,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
353,google,"Los Angeles, CA",Former Employee - Student Worker,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
355,google,"Mountain View, CA","Current Employee - Software Engineer, Tools and Infrastructure",5.0,5.0,5.0,4.0,5.0,3.0,0,2018.0
358,google,"San Jose, CA",Former Employee - Staff Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
360,google,"Sunnyvale, CA",Current Employee - Anonymous Employee,4.0,3.0,3.0,4.0,4.0,4.0,2,2018.0
365,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,4.0,3.0,0,2018.0
372,google,"Mountain View, CA",Current Employee - Anonymous Employee,3.0,2.0,2.0,4.0,4.0,3.0,0,2018.0
373,google,"Mountain View, CA",Current Employee - Product Specialist,5.0,4.0,4.0,5.0,5.0,4.0,0,2018.0
375,google,"Mountain View, CA",Current Employee - Senior Account Strategist,5.0,3.0,4.0,5.0,5.0,5.0,0,2018.0
377,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
385,google,"Mountain View, CA",Current Employee - Program Manager,5.0,5.0,5.0,4.0,4.0,5.0,1,2018.0
386,google,"San Francisco, CA",Former Employee - Chief Executive Officer,2.0,4.0,1.0,3.0,5.0,1.0,1,2018.0
387,google,"Mountain View, CA",Current Employee - Partner Development Manager,4.0,3.0,4.0,4.0,5.0,2.0,0,2018.0
389,google,"Mountain View, CA",Former Employee - Store Leader,1.0,3.0,5.0,3.0,3.0,3.0,0,2018.0
391,google,"Mountain View, CA",Current Employee - Business Data Analyst,4.0,5.0,5.0,5.0,4.0,4.0,1,2018.0
392,google,"Mountain View, CA",Former Employee - Anonymous Employee,5.0,4.0,5.0,5.0,3.0,5.0,0,2018.0
394,google,"Mountain View, CA",Former Employee - Software Engineer,3.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
396,google,"Los Angeles, CA",Current Employee - Product Manager,5.0,3.0,5.0,5.0,5.0,4.0,0,2018.0
402,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,3.0,4.0,5.0,5.0,4.0,0,2018.0
403,google,"Mountain View, CA",Current Employee - Educator,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
404,google,"San Francisco, CA",Current Employee - Senior Product Manager,5.0,4.0,5.0,4.0,3.0,4.0,1,2018.0
406,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,4.0,4.0,5.0,5.0,4.0,3,2018.0
407,google,"San Francisco, CA",Current Employee - IT Resident Fixed Term,5.0,4.0,5.0,4.0,4.0,4.0,0,2018.0
411,google,"Mountain View, CA",Former Employee - Senior Interactive Designer/Product Technology Manager | User Experience,5.0,4.0,5.0,3.0,5.0,3.0,0,2018.0
413,google,"Los Angeles, CA",Current Employee - Fulfillment Lead,4.0,5.0,4.0,3.0,4.0,4.0,1,2018.0
416,google,"Mountain View, CA",Current Employee - Anonymous Employee,4.0,4.0,4.0,4.0,5.0,3.0,2,2018.0
420,google,"Mountain View, CA",Current Employee - PGM,4.0,4.0,4.0,3.0,4.0,4.0,1,2018.0
428,google,"Los Angeles, CA",Former Employee - Web Developer,4.0,4.0,3.0,4.0,5.0,4.0,1,2018.0
430,google,"Mountain View, CA",Current Employee - Staff Software Engineer,5.0,4.0,4.0,4.0,5.0,4.0,0,2018.0
431,google,"Mountain View, CA",Former Employee - Technical Program Manager,3.0,4.0,4.4,4.0,4.4,3.9,2,2018.0
442,google,"Sunnyvale, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
444,google,"Mountain View, CA",Former Employee - Visual Designer,5.0,5.0,5.0,5.0,4.0,4.0,0,2018.0
446,google,"Los Angeles, CA",Current Employee - Software Engineer,4.0,2.0,4.0,5.0,5.0,3.0,1,2018.0
447,google,"San Francisco, CA",Former Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
449,google,"Mountain View, CA",Current Employee - Anonymous Employee,2.0,3.0,2.0,2.0,4.0,2.0,2,2018.0
457,google,"Mountain View, CA",Former Employee - Software Engineer,4.0,3.0,4.0,3.0,5.0,4.0,0,2018.0
462,google,"Mountain View, CA",Former Employee - Software Engineer,4.0,4.0,4.0,4.0,4.0,3.0,1,2018.0
464,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,4.0,4.4,4.0,4.4,3.9,3,2018.0
465,google,"Mountain View, CA",Current Employee - Program Manager,3.0,2.0,3.0,3.0,5.0,4.0,4,2018.0
466,google,"San Francisco, CA",Current Employee - Vice President,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
467,google,"San Francisco, CA",Current Employee - Global Strategy Lead,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
475,google,"Palo Alto, CA",Former Employee - Engineer,5.0,3.0,5.0,5.0,5.0,4.0,0,2018.0
476,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,3.0,0,2018.0
477,google,"Mountain View, CA",Former Employee - Anonymous Employee,4.0,4.0,5.0,4.0,5.0,2.0,0,2018.0
478,google,"Mountain View, CA",Current Employee - Product Manager,4.0,3.0,3.0,4.0,4.0,3.0,1,2018.0
480,google,"Mountain View, CA",Former Employee - Software Engineer,3.0,5.0,1.0,1.0,2.0,1.0,14,2018.0
481,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
485,google,"Mountain View, CA",Former Employee - Video Production Specialist,4.0,4.0,4.0,4.0,5.0,4.0,1,2018.0
491,google,"Mountain View, CA",Former Employee - Anonymous Employee,3.0,5.0,1.0,4.0,4.0,1.0,4,2018.0
495,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,4.0,4.0,3.0,5.0,3.0,1,2018.0
498,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,4.0,0,2018.0
502,google,"Mountain View, CA",Former Employee - Anonymous Employee,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
503,google,"Mountain View, CA",Former Employee - Google Engineering Practicum,5.0,5.0,5.0,4.0,5.0,5.0,0,2018.0
514,google,"Mountain View, CA",Former Employee - Recruiter,2.0,1.0,4.0,4.0,1.0,1.0,6,2018.0
515,google,"San Francisco, CA",Current Employee - TPM,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
516,google,"Mountain View, CA",Current Employee - Anonymous Employee,1.0,1.0,1.0,1.0,3.0,1.0,8,2018.0
521,google,"Mountain View, CA",Current Employee - Senior Staff Engineer/Manager,5.0,4.0,5.0,5.0,4.0,5.0,3,2018.0
526,google,"Mountain View, CA",Former Employee - Administrative Business Partner,2.0,1.0,1.0,1.0,1.0,1.0,3,2018.0
529,google,"San Francisco, CA",Current Employee - Program Manager,3.0,2.0,3.0,2.0,4.0,3.0,0,2018.0
533,google,"Mountain View, CA",Current Employee - Senior Member of Technical Staff,5.0,5.0,5.0,4.0,5.0,5.0,0,2018.0
538,google,"Mountain View, CA",Current Employee - Software Engineer,3.0,4.0,2.0,2.0,5.0,3.0,4,2018.0
540,google,"San Francisco, CA",Former Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
546,google,"Mountain View, CA",Current Employee - Project Coordinator,3.0,4.0,5.0,1.0,3.0,3.0,3,2018.0
550,google,"San Bruno, CA",Current Employee - Monetization Analyst,5.0,4.0,4.0,3.0,5.0,4.0,3,2018.0
557,google,"Mountain View, CA",Former Employee - Data Quality Evaluator,5.0,5.0,3.0,3.0,3.0,3.0,2,2018.0
558,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,4.0,4.0,4.0,0,2018.0
571,google,"Dublin, CA",Current Employee - Senior DevOps and Linux Systems Engineer,5.0,5.0,5.0,5.0,4.0,5.0,0,2018.0
574,google,"Mountain View, CA",Current Employee - Software Engineering,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
576,google,"Sunnyvale, CA",Current Employee - IT Field Technician,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
582,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
585,google,"Los Angeles, CA",Former Employee - Employee,5.0,3.0,5.0,5.0,5.0,4.0,0,2018.0
588,google,"Sunnyvale, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
602,google,"San Jose, CA",Current Employee - Project Manager,1.0,1.0,1.0,3.0,3.0,1.0,8,2018.0
604,google,"Mountain View, CA",Current Employee - Site Reliability Engineer Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
606,google,"San Francisco, CA",Former Employee - Data Analyst,5.0,4.0,5.0,5.0,4.0,5.0,0,2018.0
610,google,"Mountain View, CA",Former Employee - Engineering,4.0,3.0,4.0,5.0,5.0,4.0,1,2018.0
612,google,"Sunnyvale, CA",Current Employee - Manager,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
616,google,"San Francisco, CA",Current Employee - Engineer,4.0,5.0,2.0,5.0,5.0,2.0,0,2018.0
617,google,"Mountain View, CA",Current Employee - QA Developer,1.0,2.0,1.0,2.0,3.0,2.0,3,2018.0
622,google,"San Francisco, CA",Former Employee - Program Manager,2.0,2.0,2.0,2.0,5.0,3.0,4,2018.0
626,google,"Mountain View, CA",Current Employee - Anonymous Employee,4.0,5.0,4.0,2.0,5.0,4.0,0,2018.0
629,google,"San Francisco, CA",Former Employee - Anonymous Employee,4.0,4.0,4.0,3.0,5.0,4.0,0,2018.0
633,google,"Mountain View, CA",Current Employee - Test Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
635,google,"Sunnyvale, CA",Former Employee - Senior Recruiter,1.0,1.0,1.0,1.0,5.0,1.0,14,2018.0
637,google,"Los Angeles, CA",Former Employee - Senior Systems Engineer,4.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
639,google,"Mountain View, CA",Current Employee - Senior Chief Director of Algebraic Engineering,5.0,1.0,5.0,1.0,5.0,5.0,1,2018.0
641,google,"Mountain View, CA",Current Employee - Program Manager,5.0,3.0,5.0,5.0,5.0,5.0,2,2018.0
642,google,"Mountain View, CA",Former Employee - Software Engineer,4.0,3.0,4.0,5.0,5.0,4.0,1,2018.0
