,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
21014,facebook,"San Francisco, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21015,facebook,"Menlo Park, CA",Current Employee - Technical Sourcer,4.0,5.0,5.0,3.0,4.0,2.0,1,2018.0
21016,facebook,"Menlo Park, CA",Former Employee - Software Engineer,1.0,1.0,1.0,1.0,3.0,1.0,19,2018.0
21017,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
21018,facebook,"Menlo Park, CA",Current Employee - Human Resources Leader,5.0,4.0,5.0,5.0,5.0,5.0,2,2018.0
21019,facebook,"Menlo Park, CA",Current Employee - Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21020,facebook,"Austin, TX",Current Employee - Team Lead,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21021,facebook,"Menlo Park, CA",Former Employee - Technical Sourcer,4.0,4.0,4.0,4.0,4.0,4.0,0,2018.0
21022,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,2,2018.0
21023,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
21024,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
21025,facebook,"Fort Worth, TX",Current Employee - Critical Facility Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
21026,facebook,"Menlo Park, CA",Current Employee - Software Engineer,5.0,3.0,5.0,5.0,5.0,5.0,0,2018.0
21027,facebook,"Mountain View, CA",Current Employee - Software Engineer,2.0,1.0,1.0,1.0,1.0,1.0,24,2018.0
21028,facebook,"Chicago, IL",Current Employee - Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21029,facebook,"Menlo Park, CA",Current Employee - Data Scientist,5.0,5.0,5.0,4.0,5.0,5.0,0,2018.0
21030,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,2.0,4.0,4.0,5.0,4.0,0,2018.0
21031,facebook,"Menlo Park, CA",Current Employee - Engineering Manager,5.0,3.0,5.0,5.0,5.0,4.0,2,2018.0
21032,facebook,"Menlo Park, CA",Current Employee - Production Engineer,4.0,3.0,3.0,3.0,4.0,3.0,5,2018.0
21033,facebook,"Seattle, WA",Current Employee - Data Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21034,facebook,"Menlo Park, CA",Current Employee - Senior Recruiter,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
21035,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,3,2018.0
21036,facebook,"Menlo Park, CA",Current Employee - Software Engineer,1.0,1.0,1.0,1.0,3.0,1.0,9,2018.0
21037,facebook,"New York, NY",Current Employee - Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,4,2018.0
21038,facebook,"New York, NY",Current Employee - Software Engineer,5.0,3.9,4.5,4.4,4.6,4.3,6,2018.0
21039,facebook,"Menlo Park, CA",Former Employee - Administrative Assistant,3.0,3.0,2.0,3.0,5.0,2.0,12,2018.0
21040,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,2,2018.0
21041,facebook,"Menlo Park, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
21042,facebook,"Menlo Park, CA",Former Employee - Director,3.0,1.0,2.0,3.0,5.0,2.0,22,2018.0
21043,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,1.0,1.0,2.0,3.0,5.0,3.0,14,2018.0
21044,facebook,"San Francisco, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
21045,facebook,"Menlo Park, CA",Current Employee - User Experience Researcher,4.0,4.0,4.0,3.0,5.0,5.0,1,2018.0
21046,facebook,"Menlo Park, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21047,facebook,"Seattle, WA",Current Employee - Technical Program Manager,5.0,5.0,5.0,5.0,5.0,4.0,4,2018.0
21048,facebook,"Los Angeles, CA",Current Employee - Software Engineer,4.0,4.0,5.0,3.0,4.0,4.0,2,2018.0
21049,facebook,"Menlo Park, CA",Current Employee - Enterprise Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21050,facebook,"Menlo Park, CA",Current Employee - Senior Data Scientist,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
